Startup,Industry,TotalFunding,Status,Country,City,FundingRounds,FoundedAt,FirstFundingAt,LastFundingAt,StatusCode
iDream Career,Career Management|Education,-,operating,IND,New Delhi,1,01-01-2012,01-07-2015,01-07-2015,0
Chaska,Games,600000,operating,IND,Noida,4,01-08-2009,01-05-2012,01-05-2015,0
iEducative.com,Digital Media|High Schools|K-12 Education,10000,operating,IND,Haryana,1,01-08-2012,12-08-2012,12-08-2012,0
IFMR Capital,Finance,29000000,operating,IND,Chennai,1,01-01-2006,31-03-2014,31-03-2014,0
IFMR Holdings,Finance,25000000,operating,IND,Mumbai,1,01-01-2008,13-08-2015,13-08-2015,0
IFMR Rural Channels and Services,Finance,5000000,operating,IND,Chennai,1,01-01-2006,24-10-2013,24-10-2013,0
igadget.asia,News,10000,closed,IND,Mumbai,1,01-01-2012,01-01-2012,01-01-2012,1
iGATE/Patni Computers,Software|Technology,100000000,acquired,IND,Andheri,1,01-01-1978,13-09-2002,13-09-2002,2
Ignis IT Solutions,Android|Blogging Platforms|E-Commerce|iPhone|Mobile|Software|Web Design,50000,operating,IND,Indore,1,01-01-2013,09-08-2013,09-08-2013,0
IIFL,Financial Services,173000000,operating,IND,Mumbai,1,,24-10-2015,24-10-2015,0
iKaaz,Financial Services|Mobile|Mobile Payments|NFC|Software,-,operating,IND,Bangalore,2,04-07-2012,02-01-2014,30-01-2014,0
iKen Solutions Pvt. Ltd.,Artificial Intelligence|Content Discovery|Personalization|Reviews and Recommendations|Software,2000000,operating,IND,Mumbai,1,01-01-2005,01-01-2007,01-01-2007,0
iKure Techsoft,Health Care|Social Entrepreneurship|Software,115000,operating,IND,Kolkata,1,19-04-2010,09-03-2014,09-03-2014,0
iLenze,E-Commerce,500000,operating,IND,Bengaluru,1,,23-09-2015,23-09-2015,0
IMAGINATE - Technovating Reality,Software,40000,operating,IND,Hyderabad,1,01-01-2011,10-08-2012,10-08-2012,0
IMImobile,Mobile,26000000,ipo,IND,Hyderabad,3,01-01-1999,16-11-2005,13-11-2009,2
i'mma,E-Commerce,125000,closed,IND,Mumbai,1,10-08-2013,08-07-2013,08-07-2013,1
